Date,High,open_lag_1,low_lag_2,low_lag_1,high_lag_1,Low,Close_1
2015-02-13,18037.41,17862.14,17759.65,17862.14,17975.65,17961.76,18047.58
2015-02-17,18052.01,17968.65,17862.14,17961.76,18037.41,17951.41,18029.85
2015-02-18,18048.7,18019.8,17961.76,17951.41,18052.01,17982.2,17985.77
2015-02-19,18028.67,18045.72,17951.41,17982.2,18048.7,17924.6,18140.44
2015-02-20,18144.29,18028.67,17982.2,17924.6,18028.67,17878.37,18116.84
2015-02-23,18141.21,17985.77,17924.6,17878.37,18144.29,18054.84,18209.19
2015-02-24,18231.09,18140.76,17878.37,18054.84,18141.21,18098.73,18224.57
2015-02-25,18244.38,18112.57,18054.84,18098.73,18231.09,18182.76,18214.42
2015-02-26,18239.43,18208.67,18098.73,18182.76,18244.38,18157.07,18132.7
2015-02-27,18213.26,18224.41,18182.76,18157.07,18239.43,18132.38,18288.63
2015-03-02,18288.63,18213.26,18157.07,18132.38,18213.26,18122.59,18203.37
2015-03-03,18281.95,18134.05,18132.38,18122.59,18288.63,18136.88,18096.9
2015-03-04,18203.37,18281.95,18122.59,18136.88,18281.95,18029.5,18135.72
2015-03-05,18160.35,18203.37,18136.88,18029.5,18203.37,18087.65,17856.78
2015-03-06,18135.72,18096.9,18029.5,18087.65,18160.35,17825.15,17995.72
2015-03-09,18031.04,18135.72,18087.65,17825.15,18135.72,17856.56,17662.94
2015-03-10,17989.56,17856.56,17825.15,17856.56,18031.04,17662.94,17635.39
2015-03-11,17731.78,17989.56,17856.56,17662.94,17989.56,17627.0,17895.22
2015-03-12,17900.1,17662.94,17662.94,17627.0,17731.78,17620.49,17749.31
2015-03-13,17889.05,17626.84,17627.0,17620.49,17900.1,17629.89,17977.42
2015-03-16,17988.5,17889.05,17620.49,17629.89,17889.05,17751.24,17849.08
2015-03-17,17972.22,17751.24,17629.89,17751.24,17988.5,17785.79,18076.19
2015-03-18,18097.12,17972.22,17751.24,17785.79,17972.22,17697.52,17959.03
2015-03-19,18072.99,17846.8,17785.79,17697.52,18097.12,17934.24,18127.65
2015-03-20,18197.29,18072.58,17697.52,17934.24,18072.99,17961.13,18116.04
2015-03-23,18205.93,17961.13,17934.24,17961.13,18197.29,18116.04,18011.14
2015-03-24,18149.24,18136.73,17961.13,18116.04,18205.93,18010.44,17718.54
2015-03-25,18041.97,18110.87,18116.04,18010.44,18149.24,17718.54,17678.23
2015-03-26,17759.51,18012.61,18010.44,17718.54,18041.97,17579.27,17712.66
2015-03-27,17729.14,17716.27,17718.54,17579.27,17759.51,17630.49,17976.31
2015-03-30,18008.64,17673.63,17579.27,17630.49,17729.14,17727.48,17776.12
2015-03-31,17965.37,17727.48,17630.49,17727.48,18008.64,17773.02,17698.18
2015-04-01,17778.52,17965.37,17727.48,17773.02,17965.37,17585.01,17763.24
2015-04-02,17815.03,17778.52,17773.02,17585.01,17778.52,17673.49,17880.85
2015-04-06,17941.79,17699.52,17585.01,17673.49,17815.03,17646.8,17875.42
2015-04-07,17983.12,17755.5,17673.49,17646.8,17941.79,17871.21,17902.51
2015-04-08,17976.2,17884.32,17646.8,17871.21,17983.12,17822.23,17958.73
2015-04-09,17984.22,17877.62,17871.21,17822.23,17976.2,17823.1,18057.65
2015-04-10,18066.76,17897.7,17822.23,17823.1,17984.22,17945.55,17977.04
2015-04-13,18107.57,17956.73,17823.1,17945.55,18066.76,17974.81,18036.7
2015-04-14,18075.6,18052.32,17945.55,17974.81,18107.57,17905.48,18112.61
2015-04-15,18160.52,17979.11,17974.81,17905.48,18075.6,18045.71,18105.77
2015-04-16,18169.26,18045.71,17905.48,18045.71,18160.52,18063.86,17826.3
2015-04-17,18102.56,18106.27,18045.71,18063.86,18169.26,17748.53,18034.93
2015-04-20,18092.22,18102.56,18063.86,17748.53,18102.56,17841.18,17949.59
2015-04-21,18109.7,17841.18,17748.53,17841.18,18092.22,17929.63,18038.27
2015-04-22,18056.02,18034.23,17841.18,17929.63,18109.7,17887.76,18058.69
2015-04-23,18133.03,17950.82,17929.63,17887.76,18056.02,17966.77,18080.14
2015-04-24,18108.87,18031.9,17887.76,17966.77,18133.03,18009.08,18037.97
2015-04-27,18175.56,18056.42,17966.77,18009.08,18108.87,18024.66,18110.14
2015-04-28,18119.65,18097.89,18009.08,18024.66,18175.56,17917.36,18035.53
2015-04-29,18096.46,18035.9,18024.66,17917.36,18119.65,17953.69,17840.52
2015-04-30,18033.33,18093.69,17917.36,17953.69,18096.46,17774.89,18024.06
